budget_fraction,profit_target,trend_1w,regime
1.0,0.0,-0.12011362612247467,sideways
1.0,0.0,-0.10875198245048523,sideways
1.0,0.0,-0.738840639591217,bear
1.0,0.0,-1.1194697618484497,bear
1.0,0.0,-1.0615171194076538,bear
1.0,0.0,-1.0129051208496094,bear
1.0,0.0,-1.0679690837860107,bear
1.0,0.0,-1.008323073387146,bear
1.0,0.0,-0.8641417026519775,bear
1.0,0.0,-0.9470784664154053,bear
1.0,0.0,-0.9679335355758667,bear
1.0,0.0,-1.0651708841323853,bear
1.0,0.0,-1.0752651691436768,bear
1.0,0.0,-1.126305341720581,bear
1.0,0.0,-1.2348659038543701,bear
1.0,0.0,-1.3714499473571777,bear
1.0,0.0,-1.3546133041381836,bear
1.0,0.0,-0.9520435929298401,bear
1.0,0.0,-1.0163949728012085,bear
1.0,0.0,-1.1233092546463013,bear
1.0,0.0,-2.188445568084717,bear
1.0,0.0,-1.957839846611023,bear
1.0,0.0,-1.937332272529602,bear
1.0,0.0,-2.136530637741089,bear
1.0,0.0,-2.0400595664978027,bear
1.0,0.0,-1.9846445322036743,bear
1.0,0.0,-1.8814009428024292,bear
1.0,0.0,-1.8020260334014893,bear
1.0,0.0,-1.7823930978775024,bear
1.0,0.0,-1.864115595817566,bear
1.0,0.0,-1.9088290929794312,bear
1.0,0.0,-1.9508360624313354,bear
1.0,0.0,-1.9140816926956177,bear
1.0,0.0,-2.045346736907959,bear
1.0,0.0,-1.980971336364746,bear
1.0,0.0,-2.015892505645752,bear
1.0,0.0,-2.0813310146331787,bear
1.0,0.0,-2.232299327850342,bear
1.0,0.0,-2.0526175498962402,bear
1.0,0.0,-1.8167065382003784,bear
1.0,0.0,-1.8369113206863403,bear
1.0,0.0,-1.900899052619934,bear
1.0,0.0,-2.2316439151763916,bear
1.0,0.0,-1.854082703590393,bear
1.0,0.0,-1.9472721815109253,bear
1.0,0.0,-1.938782811164856,bear
1.0,0.0,-1.8817967176437378,bear
1.0,0.0,-1.124144434928894,bear
1.0,0.0,-1.5152652263641357,bear
1.0,0.0,-1.2386837005615234,bear
1.0,0.0,-1.2499042749404907,bear
1.0,0.0,-2.421701431274414,bear
1.0,0.0,-2.415649175643921,bear
1.0,0.0,-2.3851428031921387,bear
1.0,0.0,-2.364356517791748,bear
1.0,0.0,-2.192979335784912,bear
1.0,0.0,-2.1178672313690186,bear
1.0,0.0,-2.1473991870880127,bear
1.0,0.0,-2.0331649780273438,bear
1.0,0.0,-2.0438637733459473,bear
1.0,0.0,-1.224133849143982,bear
1.0,0.0,-1.4205766916275024,bear
1.0,0.0,-1.5115931034088135,bear
1.0,0.0,-1.5581722259521484,bear
1.0,0.0,-1.6618046760559082,bear
1.0,0.0,-1.5123257637023926,bear
1.0,0.0,-1.4065892696380615,bear
1.0,0.0,-1.2365069389343262,bear
1.0,0.0,-1.1413490772247314,bear
1.0,0.0,-1.1104847192764282,bear
1.0,0.0,-1.1031955480575562,bear
1.0,0.0,-1.3368018865585327,bear
1.0,0.0,-1.2454626560211182,bear
1.0,0.0,-1.6994218826293945,bear
1.0,0.0,-1.6217707395553589,bear
1.0,0.0,-1.3412766456604004,bear
1.0,0.0,-1.4008610248565674,bear
1.0,0.0,-1.363168716430664,bear
1.0,0.0,-1.3456512689590454,bear
1.0,0.0,-1.2318799495697021,bear
1.0,0.0,-1.2393395900726318,bear
1.0,0.0,-1.1578137874603271,bear
1.0,0.0,-1.182420015335083,bear
1.0,0.0,-1.0437405109405518,bear
1.0,0.0,-1.202481985092163,bear
1.0,0.0,-1.1573739051818848,bear
1.0,0.0,-1.2095288038253784,bear
1.0,0.0,-1.095288634300232,bear
1.0,0.0,-1.0692912340164185,bear
1.0,0.0,-1.054815649986267,bear
1.0,0.0,-1.319718599319458,bear
1.0,0.0,-1.2470780611038208,bear
1.0,0.0,-1.1928091049194336,bear
1.0,0.0,-1.15529203414917,bear
1.0,0.0,-1.2878855466842651,bear
1.0,0.0,-1.5251449346542358,bear
1.0,0.0,-1.395919680595398,bear
1.0,0.0,-1.3124550580978394,bear
1.0,0.0,-1.2337045669555664,bear
1.0,0.0,-1.2739144563674927,bear
